i_reset = 1, o_cnt = x, o_decade = xx, i_cnt_en = 0, o_en_cnt = x, i_time_val = 30, o_time_cnt = x, o_time_en = x, o_clock_h = x, o_clock_m = x, o_clock_s = x
i_reset = 0, o_cnt =  65, o_decade = 65, i_cnt_en = 0, o_en_cnt =  11, i_time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  5
i_reset = 0, o_cnt =  66, o_decade = 66, i_cnt_en = 0, o_en_cnt =  11, i_time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  6
i_reset = 0, o_cnt =  67, o_decade = 67, i_cnt_en = 0, o_en_cnt =  11, i_time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  7
i_reset = 0, o_cnt =  68, o_decade = 68, i_cnt_en = 0, o_en_cnt =  11, i_time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  8
i_reset = 0, o_cnt =  69, o_decade = 69, i_cnt_en = 0, o_en_cnt =  11, i_time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  9
i_reset = 0, o_cnt =  70, o_decade = 70, i_cnt_en = 1, o_en_cnt =  11, i_time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 10
i_reset = 0, o_cnt =  71, o_decade = 71, i_cnt_en = 0, o_en_cnt =  12, i_time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 11
i_reset = 0, o_cnt =  72, o_decade = 72, i_cnt_en = 0, o_en_cnt =  12, i_time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 12
i_reset = 0, o_cnt =  73, o_decade = 73, i_cnt_en = 0, o_en_cnt =  12, i_time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 13
i_reset = 0, o_cnt =  74, o_decade = 74, i_cnt_en = 0, o_en_cnt =  12, i_time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 14
i_reset = 0, o_cnt =  75, o_decade = 75, i_cnt_en = 0, o_en_cnt =  12, i_time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 15
i_reset = 0, o_cnt =  76, o_decade = 76, i_cnt_en = 1, o_en_cnt =  12, i_time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 16
i_reset = 0, o_cnt =  77, o_decade = 77, i_cnt_en = 0, o_en_cnt =  13, i_time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 17
i_reset = 0, o_cnt =  78, o_decade = 78, i_cnt_en = 0, o_en_cnt =  13, i_time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 18
i_reset = 0, o_cnt =  79, o_decade = 79, i_cnt_en = 0, o_en_cnt =  13, i_time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 19
i_reset = 0, o_cnt =  80, o_decade = 80, i_cnt_en = 0, o_en_cnt =  13, i_time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 20
i_reset = 0, o_cnt =  81, o_decade = 81, i_cnt_en = 0, o_en_cnt =  13, i_time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 21
i_reset = 0, o_cnt =  82, o_decade = 82, i_cnt_en = 1, o_en_cnt =  13, i_time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 22
i_reset = 0, o_cnt =  83, o_decade = 83, i_cnt_en = 0, o_en_cnt =  14, i_time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s = 23
