areset = 1, o_cnt = x, o_decade = xx, cnt_en = 0, o_en_cnt = x, time_val = 30, o_time_cnt = x, o_time_en = x, o_clk_h = x, o_clk_m = x, o_clk_s = x
areset = 0, o_cnt =  95, o_decade = 95, cnt_en = 0, o_en_cnt =  16, time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 35
areset = 0, o_cnt =  96, o_decade = 96, cnt_en = 0, o_en_cnt =  16, time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 36
areset = 0, o_cnt =  97, o_decade = 97, cnt_en = 0, o_en_cnt =  16, time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 37
areset = 0, o_cnt =  98, o_decade = 98, cnt_en = 0, o_en_cnt =  16, time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 38
areset = 0, o_cnt =  99, o_decade = 99, cnt_en = 0, o_en_cnt =  16, time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 39
areset = 0, o_cnt = 100, o_decade = 00, cnt_en = 1, o_en_cnt =  16, time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 40
areset = 0, o_cnt = 101, o_decade = 01, cnt_en = 0, o_en_cnt =  17, time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 41
areset = 0, o_cnt = 102, o_decade = 02, cnt_en = 0, o_en_cnt =  17, time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 42
areset = 0, o_cnt = 103, o_decade = 03, cnt_en = 0, o_en_cnt =  17, time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 43
areset = 0, o_cnt = 104, o_decade = 04, cnt_en = 0, o_en_cnt =  17, time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 44
areset = 0, o_cnt = 105, o_decade = 05, cnt_en = 0, o_en_cnt =  17, time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 45
areset = 0, o_cnt = 106, o_decade = 06, cnt_en = 1, o_en_cnt =  17, time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 46
